epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,9328.98,0.95854,0.47335,0.92491,0.8246,0.74253,0.77855,0.51471,0.95596,0.44584,0.94056,0.003862,0.003862,0.003862
64,9476.8,0.95686,0.47151,0.92524,0.82591,0.73856,0.78023,0.51601,0.9564,0.44529,0.94126,0.003763,0.003763,0.003763
65,9624.55,0.94982,0.46971,0.92576,0.82246,0.74227,0.77687,0.51471,0.95724,0.44737,0.94143,0.003664,0.003664,0.003664
66,9772.34,0.94557,0.46313,0.92409,0.84757,0.73521,0.77695,0.51582,0.95577,0.44654,0.94098,0.003565,0.003565,0.003565
67,9920.24,0.94327,0.46864,0.922,0.83041,0.74585,0.7832,0.51855,0.95218,0.44258,0.94142,0.003466,0.003466,0.003466
68,10068.2,0.93599,0.45864,0.91953,0.83092,0.74944,0.78206,0.51665,0.9499,0.4431,0.94113,0.003367,0.003367,0.003367
69,10216.2,0.92999,0.45663,0.91858,0.81885,0.74421,0.77804,0.51749,0.94888,0.44183,0.93998,0.003268,0.003268,0.003268
70,10364.1,0.92606,0.45497,0.91673,0.82171,0.74104,0.77516,0.51659,0.94988,0.44323,0.94078,0.003169,0.003169,0.003169
71,10512.6,0.92648,0.45372,0.91711,0.8262,0.74725,0.78316,0.52204,0.9481,0.44073,0.94045,0.00307,0.00307,0.00307
72,10662.1,0.92354,0.45363,0.91687,0.81849,0.75618,0.78445,0.52012,0.94841,0.43918,0.94154,0.002971,0.002971,0.002971
73,10811.3,0.92549,0.45176,0.91514,0.83201,0.74647,0.78449,0.51979,0.94682,0.43739,0.94155,0.002872,0.002872,0.002872
74,10960.2,0.91463,0.44543,0.91476,0.82552,0.7522,0.78238,0.51917,0.94912,0.43844,0.94238,0.002773,0.002773,0.002773
75,11108.7,0.91862,0.4479,0.91284,0.83243,0.75417,0.78366,0.52074,0.94895,0.4374,0.94174,0.002674,0.002674,0.002674
76,11256.6,0.91704,0.44478,0.91215,0.83601,0.74997,0.78336,0.52183,0.94973,0.43753,0.94171,0.002575,0.002575,0.002575
77,11404.8,0.90631,0.44149,0.91196,0.83605,0.74695,0.78237,0.51947,0.95079,0.43631,0.94238,0.002476,0.002476,0.002476
78,11553.3,0.89809,0.43659,0.90909,0.84022,0.74045,0.78065,0.51928,0.95001,0.43638,0.9423,0.002377,0.002377,0.002377
79,11701.2,0.90038,0.43536,0.90878,0.84598,0.73693,0.78212,0.51837,0.95056,0.43763,0.94261,0.002278,0.002278,0.002278
80,11848.9,0.89765,0.43484,0.90614,0.82932,0.74603,0.78124,0.51951,0.95039,0.437,0.94308,0.002179,0.002179,0.002179
81,11996.5,0.89229,0.43352,0.9062,0.84148,0.74249,0.78254,0.52051,0.95015,0.43663,0.94332,0.00208,0.00208,0.00208
82,12143.9,0.88635,0.43044,0.90349,0.8493,0.73842,0.78305,0.5186,0.9503,0.43628,0.94324,0.001981,0.001981,0.001981
83,12291.5,0.8834,0.42883,0.90466,0.85209,0.73649,0.78387,0.52012,0.9508,0.43691,0.94373,0.001882,0.001882,0.001882
84,12439.3,0.88002,0.42447,0.90336,0.85179,0.73492,0.78236,0.52033,0.95117,0.43593,0.94447,0.001783,0.001783,0.001783
85,12587.3,0.87763,0.42102,0.89984,0.83647,0.74775,0.78428,0.51947,0.95108,0.43604,0.94477,0.001684,0.001684,0.001684
86,12734.5,0.87527,0.41816,0.90183,0.83952,0.74539,0.78265,0.51944,0.95074,0.4358,0.94462,0.001585,0.001585,0.001585
87,12881.8,0.8667,0.41804,0.89975,0.83631,0.74637,0.78167,0.51884,0.95035,0.4347,0.94498,0.001486,0.001486,0.001486
88,13028.9,0.86336,0.41463,0.89729,0.83505,0.7482,0.7825,0.51839,0.95149,0.43438,0.94541,0.001387,0.001387,0.001387
89,13176.4,0.85809,0.41168,0.89605,0.83128,0.74898,0.78163,0.51801,0.95164,0.43493,0.94553,0.001288,0.001288,0.001288
90,13323.9,0.85123,0.40745,0.89122,0.8411,0.74212,0.78154,0.51808,0.95145,0.43492,0.94556,0.001189,0.001189,0.001189
91,13471.2,0.82869,0.38821,0.89254,0.83941,0.74287,0.78348,0.51894,0.95223,0.43479,0.9455,0.00109,0.00109,0.00109
